CN      南明     |~BADKEY~                                            
CN      恩施     |~BADKEY~                                            
CN050000       |~BADKEY~                                                
CN075001桥东     |~BADKEY~                                            
CN100071丰台     |~BADKEY~                                            
CN100076丰台     |~BADKEY~                                            
CN110000和平     |~BADKEY~                                            
CN110001和平     |~BADKEY~                                            
CN150006南岗     |~BADKEY~                                            
CN210016白下     |~BADKEY~                                            
CN250032天桥     |~BADKEY~                                            
CN300000南开     |~BADKEY~                                            
CN430085青山     |~BADKEY~                                            
CN518103宝安     |~BADKEY~                                            
CN523290石碣     |~BADKEY~                                            
CN537100港北     |~BADKEY~                                            
CN610000锦江     |~BADKEY~                                            
CN      东兴     |~BADKEY~                                            
CN      大连     |~BADKEY~                                            
CN      广州     |~BADKEY~                                            
CN      新街     |~BADKEY~                                            
CN100193海淀     |~BADKEY~                                            
CN116032甘井     |~BADKEY~                                            
CN201315浦东     |~BADKEY~                                            
CN234000墉桥     |~BADKEY~                                            
CN255499临淄     |~BADKEY~                                            
CN300402河北     |~BADKEY~                                            
CN314199嘉善     |~BADKEY~                                            
CN325011龙湾     |~BADKEY~                                            
CN325603乐清     |~BADKEY~                                            
CN350000晋安     |~BADKEY~                                            
CN350300福清     |~BADKEY~                                            
CN361000湖里     |~BADKEY~                                            
CN361007思明     |~BADKEY~                                            
CN510220海珠     |~BADKEY~                                            
CN510403白云     |~BADKEY~                                            
CN      六合     |~BADKEY~                                            
CN      新民     |~BADKEY~                                            
CN      江阴     |~BADKEY~                                            
CN      锦江     |~BADKEY~                                            
CN      长江     |~BADKEY~                                            
CN      黄埔     |~BADKEY~                                            
CN100010东城     |~BADKEY~                                            
CN100176大兴     |~BADKEY~                                            
CN110035皇姑     |~BADKEY~                                            
CN210000浦口     |~BADKEY~                                            
CN224001亭湖     |~BADKEY~                                            
CN322000义乌     |~BADKEY~                                            
CN430200江夏     |~BADKEY~                                            
CN510620天河     |~BADKEY~                                            
CN512026武江     |~BADKEY~                                            
CN518028福田     |~BADKEY~                                            
CN519070香洲     |~BADKEY~                                            
CN610023锦江     |~BADKEY~                                            
CN062150泊头     |~BADKEY~                                            
CN100054宣武     |~BADKEY~                                            
CN101318顺义     |~BADKEY~                                            
CN116083沙河     |~BADKEY~                                            
CN200431宝山     |~BADKEY~                                            
CN210000栖霞     |~BADKEY~                                            
CN350003鼓楼     |~BADKEY~                                            
CN361013思明     |~BADKEY~                                            
CN510013越秀     |~BADKEY~                                            
CN510098越秀     |~BADKEY~                                            
CN611442新津     |~BADKEY~                                            
CN      东川     |~BADKEY~                                            
CN      南昌     |~BADKEY~                                            
CN      曹安     |~BADKEY~                                            
CN      环市     |~BADKEY~                                            
CN      青海     |~BADKEY~                                            
CN      NA     |~BADKEY~                                                
CN110002和平     |~BADKEY~                                            
CN110141于洪     |~BADKEY~                                            
CN124010兴隆     |~BADKEY~                                            
CN210000江宁     |~BADKEY~                                            
CN236499临泉     |~BADKEY~                                            
CN310019江干     |~BADKEY~                                            
CN330006东湖     |~BADKEY~                                            
CN350001鼓楼     |~BADKEY~                                            
CN362000鲤城     |~BADKEY~                                            
CN441000樊城     |~BADKEY~                                            
CN510407白云     |~BADKEY~                                            
CN510535黄埔     |~BADKEY~                                            
CN519075香洲     |~BADKEY~                                            
CN830019米东     |~BADKEY~                                            
CN      城北     |~BADKEY~                                            
CN      学院     |~BADKEY~                                            
CN      山阳     |~BADKEY~                                            
CN      滨河     |~BADKEY~                                            
CN      番禺     |~BADKEY~                                            
CN110003和平     |~BADKEY~                                            
CN110068沈河     |~BADKEY~                                            
