DE10555LM34    |~BADKEY~                                                
DE30455        |~BADKEY~                                                
DE47269        |~BADKEY~                                                
DE48146        |~BADKEY~                                                
DE64625        |~BADKEY~                                                
DE80335        |~BADKEY~                                                
DE13158        |~BADKEY~                                                
DE14469        |~BADKEY~                                                
DE45359        |~BADKEY~                                                
DE85051        |~BADKEY~                                                
DE86163        |~BADKEY~                                                
DE89077        |~BADKEY~                                                
DE12043BR12    |~BADKEY~                                                
DE12277        |~BADKEY~                                                
DE24114        |~BADKEY~                                                
DE59077        |~BADKEY~                                                
DE14478        |~BADKEY~                                                
DE19322        |~BADKEY~                                                
DE24109        |~BADKEY~                                                
DE41812        |~BADKEY~                                                
DE46395        |~BADKEY~                                                
DE51145        |~BADKEY~                                                
DE60439        |~BADKEY~                                                
DE66663        |~BADKEY~                                                
DE90441        |~BADKEY~                                                
DE99099        |~BADKEY~                                                
DE99510        |~BADKEY~                                                
DE01239        |~BADKEY~                                                
DE20539AM32    |~BADKEY~                                                
DE38440        |~BADKEY~                                                
DE63571        |~BADKEY~                                                
DE76829        |~BADKEY~                                                
DE90469        |~BADKEY~                                                
DE14193        |~BADKEY~                                                
DE14467        |~BADKEY~                                                
DE31059        |~BADKEY~                                                
DE36251        |~BADKEY~                                                
DE40237        |~BADKEY~                                                
DE45219        |~BADKEY~                                                
DE50354        |~BADKEY~                                                
DE71229        |~BADKEY~                                                
DE81371        |~BADKEY~                                                
DE08363        |~BADKEY~                                                
DE12045        |~BADKEY~                                                
DE12309        |~BADKEY~                                                
DE18055        |~BADKEY~                                                
DE20097        |~BADKEY~                                                
DE29223        |~BADKEY~                                                
DE32339        |~BADKEY~                                                
DE44135        |~BADKEY~                                                
DE47803        |~BADKEY~                                                
DE47877        |~BADKEY~                                                
DE61118        |~BADKEY~                                                
DE67063        |~BADKEY~                                                
DE12169        |~BADKEY~                                                
DE26789        |~BADKEY~                                                
DE38126        |~BADKEY~                                                
DE46045        |~BADKEY~                                                
DE60316        |~BADKEY~                                                
DE87600        |~BADKEY~                                                
DE90266        |~BADKEY~                                                
DE90763        |~BADKEY~                                                
DE01662        |~BADKEY~                                                
DE20251        |~BADKEY~                                                
DE26954        |~BADKEY~                                                
DE27283        |~BADKEY~                                                
DE31137        |~BADKEY~                                                
DE38124        |~BADKEY~                                                
DE39114        |~BADKEY~                                                
DE44289        |~BADKEY~                                                
DE45136        |~BADKEY~                                                
DE46049        |~BADKEY~                                                
DE47804        |~BADKEY~                                                
DE48432        |~BADKEY~                                                
DE51379        |~BADKEY~                                                
DE53177        |~BADKEY~                                                
DE64287        |~BADKEY~                                                
DE81673        |~BADKEY~                                                
DE99947        |~BADKEY~                                                
DE10557        |~BADKEY~                                                
DE42579        |~BADKEY~                                                
DE44807        |~BADKEY~                                                
DE46325        |~BADKEY~                                                
DE47259        |~BADKEY~                                                
DE47799        |~BADKEY~                                                
DE49456        |~BADKEY~                                                
DE67227        |~BADKEY~                                                
DE80331        |~BADKEY~                                                
DE81241        |~BADKEY~                                                
DE93049        |~BADKEY~                                                
DE02625        |~BADKEY~                                                
DE12349        |~BADKEY~                                                
DE24149        |~BADKEY~                                                
DE26135        |~BADKEY~                                                
DE30179RM55    |~BADKEY~                                                
DE40229        |~BADKEY~                                                
DE58093        |~BADKEY~                                                
DE69115        |~BADKEY~                                                
DE86169        |~BADKEY~                                                
DE01237        |~BADKEY~                                                
