GR30019        |~BADKEY~                                                
GR35015        |~BADKEY~                                                
GR37001        |~BADKEY~                                                
GR73014        |~BADKEY~                                                
GR73200        |~BADKEY~                                                
GR16675        |~BADKEY~                                                
GR19004        |~BADKEY~                                                
GR21100        |~BADKEY~                                                
GR57006        |~BADKEY~                                                
GR70016        |~BADKEY~                                                
GR56626        |~BADKEY~                                                
GR61007        |~BADKEY~                                                
GR62055        |~BADKEY~                                                
GR12137        |~BADKEY~                                                
GR32009        |~BADKEY~                                                
GR41334        |~BADKEY~                                                
GR45332        |~BADKEY~                                                
GR84302        |~BADKEY~                                                
GR13231        |~BADKEY~                                                
GR16345        |~BADKEY~                                                
GR19016        |~BADKEY~                                                
GR40004        |~BADKEY~                                                
GR40400        |~BADKEY~                                                
GR48060        |~BADKEY~                                                
GR11744        |~BADKEY~                                                
GR38221        |~BADKEY~                                                
GR84200        |~BADKEY~                                                
GR85103        |~BADKEY~                                                
GR16451        |~BADKEY~                                                
GR47200        |~BADKEY~                                                
GR24001        |~BADKEY~                                                
GR35100        |~BADKEY~                                                
GR85300        |~BADKEY~                                                
GR18050        |~BADKEY~                                                
GR26441        |~BADKEY~                                                
GR50005        |~BADKEY~                                                
GR54642        |~BADKEY~                                                
GR62049        |~BADKEY~                                                
GR74055        |~BADKEY~                                                
GR82200        |~BADKEY~                                                
GR47040        |~BADKEY~                                                
GR59300        |~BADKEY~                                                
GR71304        |~BADKEY~                                                
GR12243        |~BADKEY~                                                
GR21300        |~BADKEY~                                                
GR34100        |~BADKEY~                                                
GR57001        |~BADKEY~                                                
GR61400        |~BADKEY~                                                
GR16232        |~BADKEY~                                                
GR37100        |~BADKEY~                                                
GR54643        |~BADKEY~                                                
GR71601        |~BADKEY~                                                
GR85302        |~BADKEY~                                                
GR31100        |~BADKEY~                                                
GR54248        |~BADKEY~                                                
GR13561        |~BADKEY~                                                
GR64002        |~BADKEY~                                                
GR69300        |~BADKEY~                                                
GR70014        |~BADKEY~                                                
GR18451        |~BADKEY~                                                
GR63078        |~BADKEY~                                                
GR84703        |~BADKEY~                                                
GR14451        |~BADKEY~                                                
GR64007        |~BADKEY~                                                
GR11743        |~BADKEY~                                                
GR21200        |~BADKEY~                                                
GR34500        |~BADKEY~                                                
GR63077        |~BADKEY~                                                
GR68100        |~BADKEY~                                                
GR17672        |~BADKEY~                                                
GR52100        |~BADKEY~                                                
GR73008        |~BADKEY~                                                
GR20300        |~BADKEY~                                                
GR57100        |~BADKEY~                                                
GR69100        |~BADKEY~                                                
GR12131        |~BADKEY~                                                
GR12244        |~BADKEY~                                                
GR53071        |~BADKEY~                                                
GR65302        |~BADKEY~                                                
GR11631        |~BADKEY~                                                
GR15342        |~BADKEY~                                                
GR81105        |~BADKEY~                                                
GR12345        |~BADKEY~                                                
