HK     NM1     |~BADKEY~                                                
HK     PS1     |~BADKEY~                                                
HKNT   SH1     |~BADKEY~                                                
HK     九龍      |~BADKEY~                                            
HK     大埔      |~BADKEY~                                            
HK       000009|~BADKEY~                                                
HK     CS2     |~BADKEY~                                                
HK     FLA26   |~BADKEY~                                                
HK     HC1     |~BADKEY~                                                
HK     新界元     |~BADKEY~                                          
HKKLN  CH1     |~BADKEY~                                                
HK     "B1     |~BADKEY~                                                
HK     CHI     |~BADKEY~                                                
HK     CHU     |~BADKEY~                                                
HK     FLA32   |~BADKEY~                                                
HK     HG1     |~BADKEY~                                                
HK     HM1     |~BADKEY~                                                
HK     LW2     |~BADKEY~                                                
HK     新界      |~BADKEY~                                            
HK     FR1     |~BADKEY~                                                
HK     KY1     |~BADKEY~                                                
HK     PO      |~BADKEY~                                                
HK       000000|~BADKEY~                                                
HK     N 1     |~BADKEY~                                                
HK     SN2     |~BADKEY~                                                
HK     FLA11   |~BADKEY~                                                
HK     KW2     |~BADKEY~                                                
HK     NG1     |~BADKEY~                                                
HK     SC1     |~BADKEY~                                                
HK     香港東     |~BADKEY~                                          
HK     YK2     |~BADKEY~                                                
HK     FN1     |~BADKEY~                                                
HK     FT1     |~BADKEY~                                                
HK     RM 21   |~BADKEY~                                                
HK     WT2     |~BADKEY~                                                
HKSTA50CT2     |~BADKEY~                                                
HK     HW1     |~BADKEY~                                                
HK     TW1     |~BADKEY~                                                
HK     澳門,     |~BADKEY~                                            
HK     CR2     |~BADKEY~                                                
HK     HS1     |~BADKEY~                                                
HK     PB2     |~BADKEY~                                                
HK     TIN     |~BADKEY~                                                
HK     LH1     |~BADKEY~                                                
HK     PR1     |~BADKEY~                                                
HK     RM 11   |~BADKEY~                                                
HK     SL1     |~BADKEY~                                                
HK     UN2     |~BADKEY~                                                
HK     FN2     |~BADKEY~                                                
HK     KAM     |~BADKEY~                                                
HK     MR2     |~BADKEY~                                                
HK     NA      |~BADKEY~                                                
HK     NF1     |~BADKEY~                                                
HK     OI      |~BADKEY~                                                
HK     ON2     |~BADKEY~                                                
HK     CHO     |~BADKEY~                                                
HK     EL2     |~BADKEY~                                                
HK     FLA16   |~BADKEY~                                                
HK     WAN     |~BADKEY~                                                
HK     SR2     |~BADKEY~                                                
HK     YC1     |~BADKEY~                                                
HK     FLA12   |~BADKEY~                                                
HK     RS2     |~BADKEY~                                                
HK     TM2     |~BADKEY~                                                
HKSTA21PK2     |~BADKEY~                                                
HK     1C1     |~BADKEY~                                                
HK     1D1     |~BADKEY~                                                
HK     FLA23   |~BADKEY~                                                
HK     RS1     |~BADKEY~                                                
HK     YT2     |~BADKEY~                                                
HK     屯門      |~BADKEY~                                            
HK             |~BADKEY~                                                
HK     CL2     |~BADKEY~                                                
HK     PK2     |~BADKEY~                                                
HK     SHU     |~BADKEY~                                                
HK     ML2     |~BADKEY~                                                
HKSTA04HN2     |~BADKEY~                                                
HK     "F1     |~BADKEY~                                                
HK     HIN     |~BADKEY~                                                
HK     廣東省     |~BADKEY~                                          
HK       000008|~BADKEY~                                                
HK     AR1     |~BADKEY~                                                
HK     HON     |~BADKEY~                                                
HK     RV1     |~BADKEY~                                                
HK     WS2     |~BADKEY~                                                
HK     WT1     |~BADKEY~                                                
HK     YN2     |~BADKEY~                                                
HK     HR2     |~BADKEY~                                                
HK     TN2     |~BADKEY~                                                
HK     KN2     |~BADKEY~                                                
HK     YS1     |~BADKEY~                                                
HK     NC2     |~BADKEY~                                                
HK       000013|~BADKEY~                                                
HK     NN2     |~BADKEY~                                                
HK     SS2     |~BADKEY~                                                
HK       000010|~BADKEY~                                                
HK     FU      |~BADKEY~                                                
HK     QN2     |~BADKEY~                                                
HKNT   CH1     |~BADKEY~                                                
HK       000005|~BADKEY~                                                
HK     BH1     |~BADKEY~                                                
HK     TP2     |~BADKEY~                                                
HK     GR2     |~BADKEY~                                                
HK     SH1     |~BADKEY~                                                
HK     YH2     |~BADKEY~                                                
HK     沙田      |~BADKEY~                                            
HK     KM2     |~BADKEY~                                                
HK     PR2     |~BADKEY~                                                
HK     BN2     |~BADKEY~                                                
HK     HR1     |~BADKEY~                                                
HK     WS1     |~BADKEY~                                                
HK     1B1     |~BADKEY~                                                
HK     NG2     |~BADKEY~                                                
HK       000003|~BADKEY~                                                
HK     2F2     |~BADKEY~                                                
HK     FLA18   |~BADKEY~                                                
HK     ML1     |~BADKEY~                                                
HK     PH1     |~BADKEY~                                                
HK     HEN     |~BADKEY~                                                
HK     NS1     |~BADKEY~                                                
HK     KL1     |~BADKEY~                                                
HK     MY2     |~BADKEY~                                                
HK     OC2     |~BADKEY~                                                
HK     PN2     |~BADKEY~                                                
HK     九龍深     |~BADKEY~                                          
HK     BR2     |~BADKEY~                                                
