"ACCE"	"ACCESSO"
"ACCEN"	"ACCENDITORE"
"AEROP"	"AEROPORTO"
"AEROS"	"AEROSCALO"
"AIUO"	"AIUOLA"
"ALZA"	"ALZAIA"
"ANDR"	"ANDRONA"
"ANGL"	"ANGOLO"
"ANGP"	"ANGIPORTO"
"ANTIC"	"ANTICA"
"ARCV"	"ARCHIVOLTO"
"ARGD"	"ARGINE DESTRO"
"ARGL"	"ARGINALE"
"ARGN"	"ARGINE"
"ASCEN"	"ASCENSORE"
"ASTR"	"AUTOSTRADA"
"ATRI"	"ATRIO"
"AZTA"	"ALZATA"
"BACN"	"BACINO"
"BAGL"	"BAGLIO"
"BANC"	"BANCHINA"
"BARB"	"BARBARIA"
"BARR"	"BARRIERA"
"BAST"	"BASTIONI"
"BATT"	"BATTERIA"
"BELV"	"BELVEDERE"
"BGO"	"BORGO"
"BGTA"	"BORGATA"
"BGTE"	"BORGATE"
"BLCO"	"BLOCCO"
"BLRDO"	"BALUARDO"
"BRGT"	"BORGHETTO"
"BRICC"	"BRICCO"
"BSO"	"BASSO"
"BSTN"	"BASTIONE"
"BVIO"	"BIVIO"
"CAA"	"CASA"
"CALA"	"CALATA"
"CALL"	"CALLESELLA"
"CAMLE"	"CAMPANILE"
"CANC"	"CANCELLO"
"CANT"	"CANTONE"
"CAPZ"	"CAMPAZZO"
"CARAT"	"CARATORE"
"CASAT"	"CASATO"
"CASC"	"CASCINA"
"CASIN"	"CASINA"
"CASL"	"CASALE"
"CASP"	"CASE SPARSE"
"CAST"	"CASTELLO"
"CAT"	"CASETTA"
"CAVN"	"CAVONE"
"CHIUS"	"CHIUSA"
"CHS"	"CHIASSETTO"
"CHSO"	"CHIASSO"
"CIMIT"	"CIMITERO"
"CIRC"	"CIRCONVALLAZIONE"
"CLIV"	"CLIVIO"
"CLL"	"CASELLO"
"CLLA"	"CALLE LARGA"
"CLLE"	"CALLE"
"CLN"	"COLLINA"
"CLPR"	"CALLE I"
"CLSE"	"CALLE II"
"CLVA"	"CLIVA"
"CLVO"	"CLIVO"
"CMPL"	"CAMPIELLO"
"CMPO"	"CAMPO"
"CNCA"	"CONCA"
"CNE"	"CASCINE"
"CNLE"	"CANALE"
"CNT"	"CONTRA"
"CNTA"	"CASCINETTA"
"CNTO"	"CANTO"
"COLL"	"COLLE"
"COMU"	"COMUNALE"
"COND"	"CONDOMINIO"
"CONS"	"CONSELVANA"
"CONT"	"CONTRADA"
"CONTP"	"CONTEMPLAZIONE"
"CORS"	"CORSIA"
"CORT"	"CORTILE"
"CPLS"	"COMPLESSO"
"CPT"	"CASELLA POSTALE"
"CQO"	"PRESSO"
"CRCH"	"CROCICCHIO"
"CRCV"	"CROCEVIA"
"CRD"	"CIRCONDARIO"
"CRPR"	"CORTILE I"
"CRRD"	"CARRIZZADA"
"CRSA"	"CROSA"
"CRSE"	"CORTILE II"
"CRSN"	"CROSINO"
"CRST"	"CORSETTO"
"CRTE"	"CORTE"
"CRTI"	"CORTI"
"CRTP"	"CORTE I"
"CRTS"	"CORTE II"
