IT10022        |~BADKEY~                                                
IT10128        |~BADKEY~                                                
IT20123        |~BADKEY~                                                
IT43125        |~BADKEY~                                                
IT12100        |~BADKEY~                                                
IT17100        |~BADKEY~                                                
IT48123        |~BADKEY~                                                
IT56124        |~BADKEY~                                                
IT91011        |~BADKEY~                                                
IT10090        |~BADKEY~                                                
IT37030        |~BADKEY~                                                
IT71122        |~BADKEY~                                                
IT00013        |~BADKEY~                                                
IT10098        |~BADKEY~                                                
IT12051        |~BADKEY~                                                
IT20080        |~BADKEY~                                                
IT70121        |~BADKEY~                                                
IT90135        |~BADKEY~                                                
IT95121        |~BADKEY~                                                
IT33030        |~BADKEY~                                                
IT40132        |~BADKEY~                                                
IT48022        |~BADKEY~                                                
IT50127        |~BADKEY~                                                
IT00128        |~BADKEY~                                                
IT10129        |~BADKEY~                                                
IT20159        |~BADKEY~                                                
IT73020        |~BADKEY~                                                
IT81030        |~BADKEY~                                                
IT20015        |~BADKEY~                                                
IT20121        |~BADKEY~                                                
IT48121        |~BADKEY~                                                
IT80030        |~BADKEY~                                                
IT80144        |~BADKEY~                                                
IT98057        |~BADKEY~                                                
IT10080        |~BADKEY~                                                
IT20090        |~BADKEY~                                                
IT63900        |~BADKEY~                                                
IT70022        |~BADKEY~                                                
IT84081        |~BADKEY~                                                
IT84091        |~BADKEY~                                                
IT15067        |~BADKEY~                                                
IT40100        |~BADKEY~                                                
IT57125        |~BADKEY~                                                
IT65015        |~BADKEY~                                                
IT66010        |~BADKEY~                                                
IT70026        |~BADKEY~                                                
IT80058        |~BADKEY~                                                
IT00124        |~BADKEY~                                                
IT10043        |~BADKEY~                                                
IT20144        |~BADKEY~                                                
IT40137        |~BADKEY~                                                
IT22060        |~BADKEY~                                                
IT30173        |~BADKEY~                                                
IT60019        |~BADKEY~                                                
IT00158        |~BADKEY~                                                
IT00189        |~BADKEY~                                                
IT09013        |~BADKEY~                                                
IT25050        |~BADKEY~                                                
IT4100         |~BADKEY~                                                
IT44042        |~BADKEY~                                                
IT80127        |~BADKEY~                                                
IT91025        |~BADKEY~                                                
IT00071        |~BADKEY~                                                
IT00142        |~BADKEY~                                                
IT20124        |~BADKEY~                                                
IT20161        |~BADKEY~                                                
IT47121        |~BADKEY~                                                
IT70125        |~BADKEY~                                                
IT97100        |~BADKEY~                                                
IT00146        |~BADKEY~                                                
IT32100        |~BADKEY~                                                
IT90030        |~BADKEY~                                                
IT00123        |~BADKEY~                                                
IT00168        |~BADKEY~                                                
IT20019        |~BADKEY~                                                
IT24060        |~BADKEY~                                                
IT71016        |~BADKEY~                                                
IT80056        |~BADKEY~                                                
IT80143        |~BADKEY~                                                
IT85050        |~BADKEY~                                                
IT87020        |~BADKEY~                                                
IT87100        |~BADKEY~                                                
IT00149        |~BADKEY~                                                
IT20094        |~BADKEY~                                                
IT44122        |~BADKEY~                                                
IT44123        |~BADKEY~                                                
IT73100        |~BADKEY~                                                
IT84100        |~BADKEY~                                                
IT95031        |~BADKEY~                                                
IT16043        |~BADKEY~                                                
IT20060        |~BADKEY~                                                
IT22020        |~BADKEY~                                                
IT26013        |~BADKEY~                                                
IT41122        |~BADKEY~                                                
IT54321AD1     |~BADKEY~                                                
IT80022        |~BADKEY~                                                
IT95032        |~BADKEY~                                                
IT40131        |~BADKEY~                                                
IT85100        |~BADKEY~                                                
IT27030        |~BADKEY~                                                
IT47122        |~BADKEY~                                                
IT57025        |~BADKEY~                                                
IT63074        |~BADKEY~                                                
IT95126        |~BADKEY~                                                
IT00152        |~BADKEY~                                                
IT20835        |~BADKEY~                                                
IT41124        |~BADKEY~                                                
IT46100        |~BADKEY~                                                
IT51100        |~BADKEY~                                                
IT84012        |~BADKEY~                                                
IT00153        |~BADKEY~                                                
IT27010        |~BADKEY~                                                
IT54033        |~BADKEY~                                                
IT70032        |~BADKEY~                                                
IT80049        |~BADKEY~                                                
IT87010        |~BADKEY~                                                
IT90129        |~BADKEY~                                                
IT06132        |~BADKEY~                                                
IT58100        |~BADKEY~                                                
