TW30045北區      |~BADKEY~                                            
TW30073東區      |~BADKEY~                                            
TW303  湖口      |~BADKEY~                                            
TW23159新店      |~BADKEY~                                            
TW244  金山      |~BADKEY~                                            
TW300  中華      |~BADKEY~                                            
TW503  花壇      |~BADKEY~                                            
TW907  鹽埔      |~BADKEY~                                            
TW923  萬巒      |~BADKEY~                                            
TW     仁德      |~BADKEY~                                            
TW     社頭      |~BADKEY~                                            
TW     萬華      |~BADKEY~                                            
TW338  蘆竹      |~BADKEY~                                            
TW50547鹿港      |~BADKEY~                                            
TW611  鹿草      |~BADKEY~                                            
TW83094鳳山      |~BADKEY~                                            
TW913  萬丹      |~BADKEY~                                            
TW     新化      |~BADKEY~                                            
TW     觀音      |~BADKEY~                                            
TW30072東區      |~BADKEY~                                            
TW361  造橋      |~BADKEY~                                            
TW60074東區      |~BADKEY~                                            
TW932  新園      |~BADKEY~                                            
TW23142新店      |~BADKEY~                                            
TW32085中壢      |~BADKEY~                                            
TW545  埔里      |~BADKEY~                                            
TW23548中和      |~BADKEY~                                            
TW24158三重      |~BADKEY~                                            
TW270  蘇澳      |~BADKEY~                                            
TW528  芳苑      |~BADKEY~                                            
TW700  中西      |~BADKEY~                                            
TW80453鼓山      |~BADKEY~                                            
TW822  阿蓮      |~BADKEY~                                            
TW116  文山      |~BADKEY~                                            
TW22041板橋      |~BADKEY~                                            
TW23579中和      |~BADKEY~                                            
TW24752蘆洲      |~BADKEY~                                            
TW433  臺中      |~BADKEY~                                            
TW552  集集      |~BADKEY~                                            
TW60063東區      |~BADKEY~                                            
TW23150新店      |~BADKEY~                                            
TW412  大里      |~BADKEY~                                            
TW981  玉里      |~BADKEY~                                            
TW330          |~BADKEY~                                                
TW22046板橋      |~BADKEY~                                            
TW23453永和      |~BADKEY~                                            
TW24156三重      |~BADKEY~                                            
TW327  桃園      |~BADKEY~                                            
TW800  新興      |~BADKEY~                                            
TW81357左營      |~BADKEY~                                            
TW105  松山      |~BADKEY~                                            
TW22071板橋      |~BADKEY~                                            
TW24161三重      |~BADKEY~                                            
TW512  永靖      |~BADKEY~                                            
