US     MN      |~BADKEY~                                                
US000005TH78   |~BADKEY~                                                
US01020        |~BADKEY~                                                
US03102        |~BADKEY~                                                
US03431        |~BADKEY~                                                
US05401        |~BADKEY~                                                
US06902        |~BADKEY~                                                
US08028        |~BADKEY~                                                
US14020        |~BADKEY~                                                
US15501        |~BADKEY~                                                
US16117        |~BADKEY~                                                
US21030        |~BADKEY~                                                
US21218        |~BADKEY~                                                
US21613        |~BADKEY~                                                
US21842        |~BADKEY~                                                
US28390        |~BADKEY~                                                
US28403        |~BADKEY~                                                
US28457        |~BADKEY~                                                
US29576        |~BADKEY~                                                
US29690        |~BADKEY~                                                
US30058        |~BADKEY~                                                
US31064        |~BADKEY~                                                
US31322        |~BADKEY~                                                
US31329        |~BADKEY~                                                
US32060        |~BADKEY~                                                
US32117        |~BADKEY~                                                
US32833        |~BADKEY~                                                
US33409        |~BADKEY~                                                
US33567        |~BADKEY~                                                
US33764        |~BADKEY~                                                
US33770        |~BADKEY~                                                
US34288        |~BADKEY~                                                
US37821        |~BADKEY~                                                
US38555        |~BADKEY~                                                
US39759        |~BADKEY~                                                
US40031        |~BADKEY~                                                
US41701        |~BADKEY~                                                
US44149        |~BADKEY~                                                
US45042        |~BADKEY~                                                
US46062        |~BADKEY~                                                
US48169        |~BADKEY~                                                
US48202        |~BADKEY~                                                
US48506        |~BADKEY~                                                
US49024        |~BADKEY~                                                
US49431        |~BADKEY~                                                
US60542        |~BADKEY~                                                
US61704        |~BADKEY~                                                
US63128        |~BADKEY~                                                
US66762        |~BADKEY~                                                
US67301        |~BADKEY~                                                
US68131        |~BADKEY~                                                
US75021        |~BADKEY~                                                
US76105        |~BADKEY~                                                
US76502        |~BADKEY~                                                
US77498        |~BADKEY~                                                
US85206        |~BADKEY~                                                
US87505        |~BADKEY~                                                
US90806        |~BADKEY~                                                
US91911        |~BADKEY~                                                
US92110        |~BADKEY~                                                
US92354        |~BADKEY~                                                
US93314        |~BADKEY~                                                
US94503        |~BADKEY~                                                
US95945        |~BADKEY~                                                
US97116        |~BADKEY~                                                
US98584        |~BADKEY~                                                
US99202        |~BADKEY~                                                
US00000FCR     |~BADKEY~                                                
US00000GLB55   |~BADKEY~                                                
US00000JM 78   |~BADKEY~                                                
US00736        |~BADKEY~                                                
US01702        |~BADKEY~                                                
US01832        |~BADKEY~                                                
US02777        |~BADKEY~                                                
US04605        |~BADKEY~                                                
US08075        |~BADKEY~                                                
US08107        |~BADKEY~                                                
US11379        |~BADKEY~                                                
US13492        |~BADKEY~                                                
US14221        |~BADKEY~                                                
US15857        |~BADKEY~                                                
US18360        |~BADKEY~                                                
US19602        |~BADKEY~                                                
US19971        |~BADKEY~                                                
US20850        |~BADKEY~                                                
US24201        |~BADKEY~                                                
US28602        |~BADKEY~                                                
US29625        |~BADKEY~                                                
US29906        |~BADKEY~                                                
US29936        |~BADKEY~                                                
US30083        |~BADKEY~                                                
US30107        |~BADKEY~                                                
US30127        |~BADKEY~                                                
US30548        |~BADKEY~                                                
US31407        |~BADKEY~                                                
US32615        |~BADKEY~                                                
US33180        |~BADKEY~                                                
US33904        |~BADKEY~                                                
US37615        |~BADKEY~                                                
US39110        |~BADKEY~                                                
US46409        |~BADKEY~                                                
US48187        |~BADKEY~                                                
US49015        |~BADKEY~                                                
US53589        |~BADKEY~                                                
US53705        |~BADKEY~                                                
US55414        |~BADKEY~                                                
US58104        |~BADKEY~                                                
US62095        |~BADKEY~                                                
US63113        |~BADKEY~                                                
US70047        |~BADKEY~                                                
US74354        |~BADKEY~                                                
US74464        |~BADKEY~                                                
US75068        |~BADKEY~                                                
US75551        |~BADKEY~                                                
US75757        |~BADKEY~                                                
US77031        |~BADKEY~                                                
US77373        |~BADKEY~                                                
US77414        |~BADKEY~                                                
US77494        |~BADKEY~                                                
US78362        |~BADKEY~                                                
US78537        |~BADKEY~                                                
US78626        |~BADKEY~                                                
US80526        |~BADKEY~                                                
US84097        |~BADKEY~                                                
US85018        |~BADKEY~                                                
US850231TH17   |~BADKEY~                                                
US85139        |~BADKEY~                                                
US85250        |~BADKEY~                                                
US85260        |~BADKEY~                                                
US85378        |~BADKEY~                                                
US87144        |~BADKEY~                                                
US89143        |~BADKEY~                                                
US91206        |~BADKEY~                                                
US91710        |~BADKEY~                                                
US92101        |~BADKEY~                                                
US92832        |~BADKEY~                                                
US98092        |~BADKEY~                                                
