ID     TH2     |~BADKEY~                                                
ID13910  1     |~BADKEY~                                                
TH300002 2     |~BADKEY~                                                
ID     BB2     |~BADKEY~                                                
ID     PT2     |~BADKEY~                                                
ID60281  2     |~BADKEY~                                                
TH201501 2     |~BADKEY~                                                
VN     9 2     |~BADKEY~                                                
ID     BT2     |~BADKEY~                                                
ID12810  2     |~BADKEY~                                                
TH11140  2     |~BADKEY~                                                
VN     CT2     |~BADKEY~                                                
ID10110  2     |~BADKEY~                                                
ID55511  2     |~BADKEY~                                                
TH     5 2     |~BADKEY~                                                
TH102501 2     |~BADKEY~                                                
ID     ST2     |~BADKEY~                                                
ID15310  1     |~BADKEY~                                                
TH10000  2     |~BADKEY~                                                
VN     VN1     |~BADKEY~                                                
ID     MS2     |~BADKEY~                                                
ID15310  2     |~BADKEY~                                                
TH102403 2     |~BADKEY~                                                
VN     GY1     |~BADKEY~                                                
VN     TY1     |~BADKEY~                                                
TH10800  2     |~BADKEY~                                                
  102401 2     |~BADKEY~                                                
TH11130  2     |~BADKEY~                                                
TH20150  2     |~BADKEY~                                                
       JL2     |~BADKEY~                                                
VN     BD1     |~BADKEY~                                                
VN     NN2     |~BADKEY~                                                
ID14350  1     |~BADKEY~                                                
TH11000  2     |~BADKEY~                                                
TH12150  2     |~BADKEY~                                                
VN     "H1     |~BADKEY~                                                
       PL2     |~BADKEY~                                                
ID     CK2     |~BADKEY~                                                
TH10230  2     |~BADKEY~                                                
TH102305 2     |~BADKEY~                                                
TH21000  2     |~BADKEY~                                                
       ไ 2     |~BADKEY~                                              
  -    - 2     |~BADKEY~                                                
ID15151  2     |~BADKEY~                                                
ID17111  1     |~BADKEY~                                                
TH110001 2     |~BADKEY~                                                
VN     HD2     |~BADKEY~                                                
ID     NR2     |~BADKEY~                                                
VN     TH1     |~BADKEY~                                                
ID     HS2     |~BADKEY~                                                
ID     RS2     |~BADKEY~                                                
ID     SR2     |~BADKEY~                                                
ID     IN2     |~BADKEY~                                                
ID20124  2     |~BADKEY~                                                
TH101201 2     |~BADKEY~                                                
TH10211  2     |~BADKEY~                                                
ID     BN1     |~BADKEY~                                                
ID     JT2     |~BADKEY~                                                
ID     WR2     |~BADKEY~                                                
ID11510  1     |~BADKEY~                                                
ID29438  2     |~BADKEY~                                                
TH10210  2     |~BADKEY~                                                
       KL2     |~BADKEY~                                                
  110001 2     |~BADKEY~                                                
ID     PN1     |~BADKEY~                                                
TH111201 2     |~BADKEY~                                                
VN     "N2     |~BADKEY~                                                
VN     TY2     |~BADKEY~                                                
ID     JL1     |~BADKEY~                                                
TH10170  2     |~BADKEY~                                                
TH10200  2     |~BADKEY~                                                
VN     CN1     |~BADKEY~                                                
       AP2     |~BADKEY~                                                
TH12140  2     |~BADKEY~                                                
VN     "T1     |~BADKEY~                                                
VN     Q 1     |~BADKEY~                                                
ID15710  2     |~BADKEY~                                                
TH102201 2     |~BADKEY~                                                
VN       2     |~BADKEY~                                                
VN     Q 2     |~BADKEY~                                                
